Cust_ID,Name,Age,Gender,Location,Marital_Status,Education,Occupation,MOB,Income,Dependents,Digital_ind,Email,Phone,Address
0,Customer 0,42,Male,Vijayawada,Separated,High School Diploma,Doctor,98,2800087,0,1,Customer 0@gmail.com,+91 1057101220,
1,Customer 1,44,Female,Noida,Divorced,Bachelors Degree,Driver,164,3518989,0,1,Customer 1@gmail.com,+91 4255861769,
2,Customer 2,47,Male,Amritsar,Widower,Professional Degree,Accountant,164,4499481,1,1,Customer 2@gmail.com,+91 3045466019,
3,Customer 3,59,Female,Ahmedabad,Widower,Vocational Training or Trade Certification,Security Guard,104,2922314,1,1,Customer 3@gmail.com,+91 3108684246,
4,Customer 4,49,Female,Jabalpur,Unmarried,Doctorate Degree,Tour Guide,6,4375420,1,1,Customer 4@gmail.com,+91 8185395148,
5,Customer 5,37,Other,Patna,Married,Bachelors Degree,Financial Analyst,145,4510403,3,1,Customer 5@gmail.com,+91 0497563829,
6,Customer 6,69,Other,Mysore,Married,Masters Degree,Insurance Agent,93,1515620,4,1,Customer 6@gmail.com,+91 2865141489,
7,Customer 7,54,Other,Panaji,Separated,Bachelors Degree,Delivery Person,115,4823102,0,1,Customer 7@gmail.com,+91 7278078255,
8,Customer 8,62,Male,Mumbai,Divorced,Bachelors Degree,Fitness Trainer,228,364118,1,0,Customer 8@gmail.com,+91 4828347734,
9,Customer 9,37,Other,Ahmedabad,Divorced,Doctorate Degree,Financial Planner,29,4137419,1,0,Customer 9@gmail.com,+91 1600658003,
10,Customer 10,67,Other,Mumbai,Unmarried,Professional Degree,Marketing Manager,192,3645715,3,0,Customer 10@gmail.com,+91 4271217589,
11,Customer 11,28,Male,Dehradun,Married,Professional Degree,Tour Guide,84,1179207,0,0,Customer 11@gmail.com,+91 3763600217,
12,Customer 12,40,Male,Rajkot,Separated,Vocational Training or Trade Certification,Architect,23,486162,1,0,Customer 12@gmail.com,+91 8098468552,
13,Customer 13,25,Female,Dehradun,Married,Vocational Training or Trade Certification,Consultant,21,4479916,2,1,Customer 13@gmail.com,+91 7488260402,
14,Customer 14,32,Male,Nashik,Married,Masters Degree,Content Writer,34,4487357,2,1,Customer 14@gmail.com,+91 3011917652,
15,Customer 15,51,Male,Bhopal,Unmarried,Professional Degree,Financial Analyst,108,3302499,4,0,Customer 15@gmail.com,+91 4498502443,
16,Customer 16,67,Male,Ludhiana,Unmarried,High School Diploma,Financial Planner,149,1813509,0,0,Customer 16@gmail.com,+91 0281067965,
17,Customer 17,27,Male,Lucknow,Unmarried,Vocational Training or Trade Certification,Tour Guide,150,3447503,0,0,Customer 17@gmail.com,+91 9928991738,
18,Customer 18,43,Other,Panaji,Widower,Professional Degree,Delivery Person,202,812258,1,0,Customer 18@gmail.com,+91 9139628178,
19,Customer 19,63,Other,Vijayawada,Separated,Masters Degree,Hair Stylist,124,339906,3,0,Customer 19@gmail.com,+91 8382780724,
20,Customer 20,55,Female,Mumbai,Married,Vocational Training or Trade Certification,Investment Banker,222,318816,4,1,Customer 20@gmail.com,+91 9530227376,
21,Customer 21,44,Other,Ahmedabad,Separated,Bachelors Degree,Accountant,31,4190589,1,1,Customer 21@gmail.com,+91 6716158613,
22,Customer 22,29,Female,Srinagar,Divorced,Vocational Training or Trade Certification,Investment Banker,115,2787799,1,0,Customer 22@gmail.com,+91 0768503454,
23,Customer 23,27,Other,Raipur,Unmarried,Bachelors Degree,Human Resources Manager,62,4045896,3,1,Customer 23@gmail.com,+91 6416719569,
24,Customer 24,51,Other,Guwahati,Widower,Masters Degree,Driver,61,695388,3,0,Customer 24@gmail.com,+91 2592246227,
25,Customer 25,63,Male,Panaji,Separated,Bachelors Degree,Housekeeper,115,331460,0,0,Customer 25@gmail.com,+91 7621880931,
26,Customer 26,33,Other,Nashik,Divorced,High School Diploma,Housekeeper,125,1919540,4,0,Customer 26@gmail.com,+91 2823711420,
27,Customer 27,29,Female,Vadodara,Widower,Masters Degree,Financial Analyst,61,4302823,2,0,Customer 27@gmail.com,+91 6841702452,
28,Customer 28,48,Male,Indore,Separated,Vocational Training or Trade Certification,Artist,69,3249740,2,0,Customer 28@gmail.com,+91 7283656249,
29,Customer 29,39,Female,Indore,Widower,Bachelors Degree,Architect,154,3911212,2,0,Customer 29@gmail.com,+91 4272238224,
30,Customer 30,41,Other,Bareilly,Separated,Bachelors Degree,Lawyer,60,3835916,0,0,Customer 30@gmail.com,+91 2763187099,
31,Customer 31,57,Other,Dehradun,Divorced,Professional Degree,Security Guard,128,1791233,2,1,Customer 31@gmail.com,+91 7428652321,
32,Customer 32,26,Female,Jamshedpur,Widower,High School Diploma,Delivery Person,160,3455636,1,1,Customer 32@gmail.com,+91 4794758952,
33,Customer 33,52,Other,Jabalpur,Separated,Doctorate Degree,Hair Stylist,127,1065088,4,1,Customer 33@gmail.com,+91 6301993230,
34,Customer 34,60,Male,Surat,Separated,Vocational Training or Trade Certification,Data Analyst,178,4489450,1,1,Customer 34@gmail.com,+91 5710709061,
35,Customer 35,37,Male,Guwahati,Married,High School Diploma,Lawyer,130,4175793,1,0,Customer 35@gmail.com,+91 6171512798,
36,Customer 36,42,Other,Ghaziabad,Married,Bachelors Degree,Photographer,2,532357,4,1,Customer 36@gmail.com,+91 3557938670,
37,Customer 37,69,Other,Allahabad,Married,Professional Degree,Tour Guide,53,528220,0,1,Customer 37@gmail.com,+91 6751272989,
38,Customer 38,66,Other,Bhubaneswar,Unmarried,Bachelors Degree,Event Planner,201,3314537,4,1,Customer 38@gmail.com,+91 8980817227,
39,Customer 39,33,Male,Bhopal,Married,Professional Degree,Farmer,239,662645,4,1,Customer 39@gmail.com,+91 5604347837,
40,Customer 40,45,Male,Bhubaneswar,Married,Doctorate Degree,Social Media Manager,211,64651,2,1,Customer 40@gmail.com,+91 4037300542,
41,Customer 41,54,Male,Aurangabad,Widower,Bachelors Degree,Businessman,38,754933,4,1,Customer 41@gmail.com,+91 2671094369,
42,Customer 42,36,Male,Bhubaneswar,Unmarried,Doctorate Degree,Marketing Manager,104,2372185,3,1,Customer 42@gmail.com,+91 1350347609,
43,Customer 43,60,Other,Kanpur,Separated,High School Diploma,Delivery Person,49,2163221,0,1,Customer 43@gmail.com,+91 8461056695,
44,Customer 44,36,Male,Rajkot,Married,Masters Degree,Graphic Designer,231,2600812,1,1,Customer 44@gmail.com,+91 8287804446,
45,Customer 45,29,Other,Chennai,Married,Professional Degree,IT Consultant,177,4584769,1,0,Customer 45@gmail.com,+91 9763024697,
46,Customer 46,33,Other,Nashik,Separated,Masters Degree,Stockbroker,222,2133964,1,1,Customer 46@gmail.com,+91 4889357956,
47,Customer 47,66,Male,Kanpur,Widower,Bachelors Degree,Electrician,223,1488992,2,0,Customer 47@gmail.com,+91 3516160728,
48,Customer 48,66,Other,Jaipur,Widower,Bachelors Degree,Businessman,63,1544434,4,0,Customer 48@gmail.com,+91 4918108915,
49,Customer 49,29,Other,Visakhapatnam,Married,Doctorate Degree,Writer,54,3854123,3,0,Customer 49@gmail.com,+91 1965836552,
50,Customer 50,58,Female,Surat,Separated,Masters Degree,Nurse,209,3151958,2,1,Customer 50@gmail.com,+91 3975614533,
51,Customer 51,52,Other,Kolkata,Divorced,Bachelors Degree,Financial Planner,238,3337880,1,0,Customer 51@gmail.com,+91 2915583996,
52,Customer 52,33,Female,Jodhpur,Widower,Vocational Training or Trade Certification,Accountant,25,3182968,3,0,Customer 52@gmail.com,+91 4008325845,
53,Customer 53,29,Male,Rajkot,Separated,High School Diploma,Writer,172,1171407,3,1,Customer 53@gmail.com,+91 8488854583,
54,Customer 54,66,Male,Ahmedabad,Unmarried,Bachelors Degree,Event Planner,184,4334929,4,0,Customer 54@gmail.com,+91 9372017531,
55,Customer 55,27,Male,Ranchi,Married,Vocational Training or Trade Certification,IT Consultant,234,4461895,2,1,Customer 55@gmail.com,+91 3748520602,
56,Customer 56,57,Male,Vijayawada,Divorced,Professional Degree,Tour Guide,94,2719653,3,0,Customer 56@gmail.com,+91 9299025197,
57,Customer 57,64,Male,Panaji,Widower,Masters Degree,Social Media Manager,2,468785,0,1,Customer 57@gmail.com,+91 2293471500,
58,Customer 58,63,Male,Srinagar,Separated,Bachelors Degree,Human Resources Manager,18,1480774,4,1,Customer 58@gmail.com,+91 3512714209,
59,Customer 59,49,Male,Ahmedabad,Unmarried,Professional Degree,Consultant,89,4871688,2,1,Customer 59@gmail.com,+91 7167432787,
60,Customer 60,56,Other,Mysore,Separated,Doctorate Degree,Lawyer,152,2048810,4,0,Customer 60@gmail.com,+91 3717511572,
